"",,,,,,PU,I,CTIN_5 — SCT input 5. Capture input 2 of timer 2.
"",,,,,,,-,R — Function reserved.
"",,,,,,,O,EMC_WE — LOW active Write Enable signal.
"",,,,,,,-,R — Function reserved.
"",,,,,,,O,EMC_BLS0 — LOW active Byte Lane select signal 0.
"",,,,,,,-,R — Function reserved.
"",,,,,,,I/O,SD_CMD — SD/MMC command signal.
P1_7,T5,G4,50,69,[2],N;,I/O,GPIO1[0] — General purpose digital input/output pin.
"",,,,,,PU,I,U1_DSR — Data Set Ready input for UART1.
"",,,,,,,O,CTOUT_13 — SCT output 13. Match output 3 of timer 3.
"",,,,,,,I/O,EMC_D0 — External memory data line 0.
"",,,,,,,O,USB0_PPWR — VBUS drive signal (towards external charge
"",,,,,,,,pump or power management unit); indicates that VBUS must
"",,,,,,,,be driven (active HIGH). Add a pull-down resistor to disable the
"",,,,,,,,power switch at reset. This signal has opposite polarity
"",,,,,,,,compared to the USB_PPWR used on other NXP LPC parts.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
P1_8,R7,H5,51,71,[2],N;,I/O,GPIO1[1] — General purpose digital input/output pin.
"",,,,,,PU,O,U1_DTR — Data Terminal Ready output for UART1.
"",,,,,,,O,CTOUT_12 — SCT output 12. Match output 3 of
"",,,,,,,,timer 3.
"",,,,,,,I/O,EMC_D1 — External memory data line 1.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
"",,,,,,,O,SD_VOLT0 — SD/MMC bus voltage select output 0.
P1_9,T7,J5,52,73,[2],N;,I/O,GPIO1[2] — General purpose digital input/output pin.
"",,,,,,PU,O,U1_RTS — Request to Send output for UART1.
"",,,,,,,O,CTOUT_11 — SCT output 11. Match output 3 of
"",,,,,,,,timer 2.
"",,,,,,,I/O,EMC_D2 — External memory data line 2.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
"",,,,,,,I/O,SD_DAT0 — SD/MMC data bus line 0.
P1_10,R8,H6,53,75,[2],N;,I/O,GPIO1[3] — General purpose digital input/output pin.
"",,,,,,PU,I,U1_RI — Ring Indicator input for UART1.
"",,,,,,,O,CTOUT_14 — SCT output 14. Match output 2 of timer 3.
"",,,,,,,I/O,EMC_D3 — External memory data line 3.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
"",,,,,,,I/O,SD_DAT1 — SD/MMC data bus line 1.
P1_11,T9,J7,55,77,[2],N;,I/O,GPIO1[4] — General purpose digital input/output pin.
"",,,,,,PU,I,U1_CTS — Clear to Send input for UART1.
"",,,,,,,O,CTOUT_15 — SCT output 15. Match output 3 of timer 3.
"",,,,,,,I/O,EMC_D4 — External memory data line 4.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
"",,,,,,,I/O,SD_DAT2 — SD/MMC data bus line 2.
P1_12,R9,K7,56,78,[2],N;,I/O,GPIO1[5] — General purpose digital input/output pin.
"",,,,,,PU,I,U1_DCD — Data Carrier Detect input for UART1.
"",,,,,,,-,R — Function reserved.
"",,,,,,,I/O,EMC_D5 — External memory data line 5.
"",,,,,,,I,T0_CAP1 — Capture input 1 of timer 0.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
"",,,,,,,I/O,SD_DAT3 — SD/MMC data bus line 3.
P1_13,R10,H8,60,83,[2],N;,I/O,GPIO1[6] — General purpose digital input/output pin.
"",,,,,,PU,O,U1_TXD — Transmitter output for UART1.
"",,,,,,,-,R — Function reserved.
"",,,,,,,I/O,EMC_D6 — External memory data line 6.
"",,,,,,,I,T0_CAP0 — Capture input 0 of timer 0.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
"",,,,,,,I,SD_CD — SD/MMC card detect input.
P1_14,R11,J8,61,85,[2],N;,I/O,GPIO1[7] — General purpose digital input/output pin.
"",,,,,,PU,I,U1_RXD — Receiver input for UART1.
"",,,,,,,-,R — Function reserved.
"",,,,,,,I/O,EMC_D7 — External memory data line 7.
"",,,,,,,O,T0_MAT2 — Match output 2 of timer 0.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
P1_15,T12,K8,62,87,[2],N;,I/O,GPIO0[2] — General purpose digital input/output pin.
"",,,,,,PU,O,U2_TXD — Transmitter output for USART2.
"",,,,,,,-,R — Function reserved.
"",,,,,,,I,ENET_RXD0 — Ethernet receive data 0 (RMII/MII interface).
"",,,,,,,O,T0_MAT1 — Match output 1 of timer 0.
"",,,,,,,-,R — Function reserved.
"",,,,,,,I/O,EMC_D8 — External memory data line 8.
"",,,,,,,-,R — Function reserved.
P1_16,M7,H9,64,90,[2],N;,I/O,GPIO0[3] — General purpose digital input/output pin.
"",,,,,,PU,I,U2_RXD — Receiver input for USART2.
"",,,,,,,-,R — Function reserved.
"",,,,,,,I,ENET_CRS — Ethernet Carrier Sense (MII interface).
"",,,,,,,O,T0_MAT0 — Match output 0 of timer 0.
"",,,,,,,-,R — Function reserved.
"",,,,,,,I/O,EMC_D9 — External memory data line 9.
"",,,,,,,I,ENET_RX_DV — Ethernet Receive Data Valid (RMII/MII
"",,,,,,,,interface).
P1_17,M8,H10,66,93,[3],N;,I/O,GPIO0[12] — General purpose digital input/output pin.
"",,,,,,PU,I/O,U2_UCLK — Serial clock input/output for USART2 in
"",,,,,,,,synchronous mode.
"",,,,,,,-,R — Function reserved.
"",,,,,,,I/O,ENET_MDIO — Ethernet MIIM data input and output.
"",,,,,,,I,T0_CAP3 — Capture input 3 of timer 0.
"",,,,,,,O,CAN1_TD — CAN1 transmitter output.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
P1_18,N12,J10,67,95,[2],N;,I/O,GPIO0[13] — General purpose digital input/output pin.
"",,,,,,PU,I/O,U2_DIR — RS-485/EIA-485 output enable/direction control for
"",,,,,,,,USART2.
"",,,,,,,-,R — Function reserved.
"",,,,,,,O,ENET_TXD0 — Ethernet transmit data 0 (RMII/MII interface).
"",,,,,,,O,T0_MAT3 — Match output 3 of timer 0.
"",,,,,,,I,CAN1_RD — CAN1 receiver input.
"",,,,,,,-,R — Function reserved.
"",,,,,,,I/O,EMC_D10 — External memory data line 10.
P1_19,M11,K9,68,96,[2],N;,I,ENET_TX_CLK (ENET_REF_CLK) — Ethernet Transmit
"",,,,,,PU,,Clock (MII interface) or Ethernet Reference Clock (RMII
"",,,,,,,,interface).
"",,,,,,,I/O,SSP1_SCK — Serial clock for SSP1.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
"",,,,,,,O,CLKOUT — Clock output pin.
"",,,,,,,-,R — Function reserved.
"",,,,,,,O,I2S0_RX_MCLK — I2S receive master clock.
"",,,,,,,I/O,I2S1_TX_SCK — Transmit Clock. It is driven by the master
"",,,,,,,,and received by the slave. Corresponds to the signal SCK in
"",,,,,,,,the I2S-bus specification.
P1_20,M10,K10,70,100,[2],N;,I/O,GPIO0[15] — General purpose digital input/output pin.
"",,,,,,PU,I/O,SSP1_SSEL — Slave Select for SSP1.
"",,,,,,,-,R — Function reserved.
"",,,,,,,O,ENET_TXD1 — Ethernet transmit data 1 (RMII/MII interface).
"",,,,,,,I,T0_CAP2 — Capture input 2 of timer 0.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
"",,,,,,,I/O,EMC_D11 — External memory data line 11.
P2_0,T16,G10,75,108,[2],N;,-,R — Function reserved.
"",,,,,,PU,O,U0_TXD — Transmitter output for USART0. See Table 15 for
"",,,,,,,,ISP mode.
"",,,,,,,I/O,EMC_A13 — External memory address line 13.
"",,,,,,,O,USB0_PPWR — VBUS drive signal (towards external charge
"",,,,,,,,pump or power management unit); indicates that VBUS must
"",,,,,,,,be driven (active HIGH). Add a pull-down resistor to disable the
"",,,,,,,,power switch at reset. This signal has opposite polarity
"",,,,,,,,compared to the USB_PPWR used on other NXP LPC parts.
"",,,,,,,I/O,GPIO5[0] — General purpose digital input/output pin.
"",,,,,,,-,R — Function reserved.
"",,,,,,,I,T3_CAP0 — Capture input 0 of timer 3.
"",,,,,,,O,ENET_MDC — Ethernet MIIM clock.
P2_1,N15,G7,81,116,[2],N;,-,R — Function reserved.
"",,,,,,PU,I,U0_RXD — Receiver input for USART0. See Table 15 for ISP
"",,,,,,,,mode.
"",,,,,,,I/O,EMC_A12 — External memory address line 12.
"",,,,,,,I,USB0_PWR_FAULT — Port power fault signal indicating
"",,,,,,,,overcurrent condition; this signal monitors over-current on the
"",,,,,,,,USB bus (external circuitry required to detect over-current
"",,,,,,,,condition).
"",,,,,,,I/O,GPIO5[1] — General purpose digital input/output pin.
"",,,,,,,-,R — Function reserved.
"",,,,,,,I,T3_CAP1 — Capture input 1 of timer 3.
"",,,,,,,-,R — Function reserved.
P2_2,M15,F5,84,121,[2],N;,-,R — Function reserved.
"",,,,,,PU,I/O,U0_UCLK — Serial clock input/output for USART0 in
"",,,,,,,,synchronous mode.
"",,,,,,,I/O,EMC_A11 — External memory address line 11.
"",,,,,,,O,USB0_IND1 — USB0 port indicator LED control output 1.
"",,,,,,,I/O,GPIO5[2] — General purpose digital input/output pin.
"",,,,,,,I,CTIN_6 — SCT input 6. Capture input 1 of timer 3.
"",,,,,,,I,T3_CAP2 — Capture input 2 of timer 3.
"",,,,,,,O,EMC_CS1 — LOW active Chip Select 1 signal.
P2_3,J12,D8,87,127,[3],N;,-,R — Function reserved.
"",,,,,,PU,I/O,I2C1_SDA — I2C1 data input/output (this pin does not use a
"",,,,,,,,specialized I2C pad).
"",,,,,,,O,U3_TXD — Transmitter output for USART3. See Table 15 for
"",,,,,,,,ISP mode.
"",,,,,,,I,CTIN_1 — SCT input 1. Capture input 1 of timer 0. Capture
"",,,,,,,,input 1 of timer 2.
"",,,,,,,I/O,GPIO5[3] — General purpose digital input/output pin.
"",,,,,,,-,R — Function reserved.
"",,,,,,,O,T3_MAT0 — Match output 0 of timer 3.
"",,,,,,,O,USB0_PPWR — VBUS drive signal (towards external charge
"",,,,,,,,pump or power management unit); indicates that VBUS must
"",,,,,,,,be driven (active HIGH). Add a pull-down resistor to disable the
"",,,,,,,,power switch at reset. This signal has opposite polarity
"",,,,,,,,compared to the USB_PPWR used on other NXP LPC parts.
P2_4,K11,D9,88,128,[3],N;,-,R — Function reserved.
"",,,,,,PU,I/O,I2C1_SCL — I2C1 clock input/output (this pin does not use a
"",,,,,,,,specialized I2C pad).
"",,,,,,,I,U3_RXD — Receiver input for USART3. See Table 15 for ISP
"",,,,,,,,mode.
"",,,,,,,I,"CTIN_0 — SCT input 0. Capture input 0 of timer 0, 1, 2, 3."
"",,,,,,,I/O,GPIO5[4] — General purpose digital input/output pin.
"",,,,,,,-,R — Function reserved.
"",,,,,,,O,T3_MAT1 — Match output 1 of timer 3.
"",,,,,,,I,USB0_PWR_FAULT — Port power fault signal indicating
"",,,,,,,,overcurrent condition; this signal monitors over-current on the
"",,,,,,,,USB bus (external circuitry required to detect over-current
"",,,,,,,,condition).
P2_5,K14,D10,91,131,[3],N;,-,R — Function reserved.
"",,,,,,PU,I,CTIN_2 — SCT input 2. Capture input 2 of timer 0.
"",,,,,,,I,USB1_VBUS — Monitors the presence of USB1 bus power.
"",,,,,,,,Note: This signal must be HIGH for USB reset to occur.
"",,,,,,,I,ADCTRIG1 — ADC trigger input 1.
"",,,,,,,I/O,GPIO5[5] — General purpose digital input/output pin.
"",,,,,,,-,R — Function reserved.
"",,,,,,,O,T3_MAT2 — Match output 2 of timer 3.
"",,,,,,,O,USB0_IND0 — USB0 port indicator LED control
"",,,,,,,,output 0.
P2_6,K16,G9,95,137,[2],N;,-,R — Function reserved.
"",,,,,,PU,I/O,U0_DIR — RS-485/EIA-485 output enable/direction control for
"",,,,,,,,USART0.
"",,,,,,,I/O,EMC_A10 — External memory address line 10.
"",,,,,,,O,USB0_IND0 — USB0 port indicator LED control
"",,,,,,,,output 0.
"",,,,,,,I/O,GPIO5[6] — General purpose digital input/output pin.
"",,,,,,,I,CTIN_7 — SCT input 7.
"",,,,,,,I,T3_CAP3 — Capture input 3 of timer 3.
"",,,,,,,O,EMC_BLS1 — LOW active Byte Lane select signal 1.
P2_7,H14,C10,96,138,[2],N;,I/O,GPIO0[7] — General purpose digital input/output pin. ISP
"",,,,,,PU,,"entry pin. If this pin is pulled LOW at reset, the part enters ISP"
"",,,,,,,,mode or boots from an external source (see Table 15 and
"",,,,,,,,Table 16).
"",,,,,,,O,CTOUT_1 — SCT output 1. Match output 3 of timer 3.
"",,,,,,,I/O,U3_UCLK — Serial clock input/output for USART3 in
"",,,,,,,,synchronous mode.
"",,,,,,,I/O,EMC_A9 — External memory address line 9.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
"",,,,,,,O,T3_MAT3 — Match output 3 of timer 3.
"",,,,,,,-,R — Function reserved.
P2_8,J16,C6,98,140,[2],N;,-,R — Function reserved. External boot pin (see Table 16)
"",,,,,,PU,O,CTOUT_0 — SCT output 0. Match output 0 of timer 0.
"",,,,,,,I/O,U3_DIR — RS-485/EIA-485 output enable/direction control for
"",,,,,,,,USART3.
"",,,,,,,I/O,EMC_A8 — External memory address line 8.
"",,,,,,,I/O,GPIO5[7] — General purpose digital input/output pin.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
P2_9,H16,B10,102,144,[2],N;,I/O,GPIO1[10] — General purpose digital input/output pin.
"",,,,,,PU,,External boot pin (see Table 16).
"",,,,,,,O,CTOUT_3 — SCT output 3. Match output 3 of timer 0.
"",,,,,,,I/O,U3_BAUD — Baud pin for USART3.
"",,,,,,,I/O,EMC_A0 — External memory address line 0.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
P2_10,G16,E8,104,146,[2],N;,I/O,GPIO0[14] — General purpose digital input/output pin.
"",,,,,,PU,O,CTOUT_2 — SCT output 2. Match output 2 of timer 0.
"",,,,,,,O,U2_TXD — Transmitter output for USART2.
"",,,,,,,I/O,EMC_A1 — External memory address line 1.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
P2_11,F16,A9,105,148,[2],N;,I/O,GPIO1[11] — General purpose digital input/output pin.
"",,,,,,PU,O,CTOUT_5 — SCT output 5. Match output 3 of timer 3.
"",,,,,,,I,U2_RXD — Receiver input for USART2.
"",,,,,,,I/O,EMC_A2 — External memory address line 2.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
P2_12,E15,B9,106,153,[2],N;,I/O,GPIO1[12] — General purpose digital input/output pin.
"",,,,,,PU,O,CTOUT_4 — SCT output 4. Match output 3 of timer 3.
"",,,,,,,-,R — Function reserved.
"",,,,,,,I/O,EMC_A3 — External memory address line 3.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
"",,,,,,,I/O,U2_UCLK — Serial clock input/output for USART2 in
"",,,,,,,,synchronous mode.
P2_13,C16,A10,108,156,[2],N;,I/O,GPIO1[13] — General purpose digital input/output pin.
"",,,,,,PU,I,CTIN_4 — SCT input 4. Capture input 2 of timer 1.
"",,,,,,,-,R — Function reserved.
"",,,,,,,I/O,EMC_A4 — External memory address line 4.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
"",,,,,,,I/O,U2_DIR — RS-485/EIA-485 output enable/direction control for
"",,,,,,,,USART2.
P3_0,F13,A8,112,161,[2],N;,I/O,I2S0_RX_SCK — I2S receive clock. It is driven by the master
"",,,,,,PU,,and received by the slave. Corresponds to the signal SCK in
"",,,,,,,,the I2S-bus specification.
"",,,,,,,O,I2S0_RX_MCLK — I2S receive master clock.
"",,,,,,,I/O,I2S0_TX_SCK — Transmit Clock. It is driven by the master
"",,,,,,,,and received by the slave. Corresponds to the signal SCK in
"",,,,,,,,the I2S-bus specification.
"",,,,,,,O,I2S0_TX_MCLK — I2S transmit master clock.
"",,,,,,,I/O,SSP0_SCK — Serial clock for SSP0.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
P3_1,G11,F7,114,163,[2],N;,I/O,I2S0_TX_WS — Transmit Word Select. It is driven by the
"",,,,,,PU,,master and received by the slave. Corresponds to the signal
"",,,,,,,,WS in the I2S-bus specification.
"",,,,,,,I/O,I2S0_RX_WS — Receive Word Select. It is driven by the
"",,,,,,,,master and received by the slave. Corresponds to the signal
"",,,,,,,,WS in the I2S-bus specification.
"",,,,,,,I,CAN0_RD — CAN receiver input.
"",,,,,,,O,USB1_IND1 — USB1 Port indicator LED control output 1.
"",,,,,,,I/O,GPIO5[8] — General purpose digital input/output pin.
"",,,,,,,-,R — Function reserved.
"",,,,,,,O,LCD_VD15 — LCD data.
"",,,,,,,-,R — Function reserved.
P3_2,F11,G6,116,166,[2],OL;,I/O,I2S0_TX_SDA — I2S transmit data. It is driven by the
"",,,,,,PU,,transmitter and read by the receiver. Corresponds to the signal
"",,,,,,,,SD in the I2S-bus specification.
"",,,,,,,I/O,I2S0_RX_SDA — I2S Receive data. It is driven by the
"",,,,,,,,transmitter and read by the receiver. Corresponds to the signal
"",,,,,,,,SD in the I2S-bus specification.
"",,,,,,,O,CAN0_TD — CAN transmitter output.
"",,,,,,,O,USB1_IND0 — USB1 Port indicator LED control output 0.
"",,,,,,,I/O,GPIO5[9] — General purpose digital input/output pin.
"",,,,,,,-,R — Function reserved.
"",,,,,,,O,LCD_VD14 — LCD data.
"",,,,,,,-,R — Function reserved.
P3_3,B14,A7,118,169,[4],N;,-,R — Function reserved.
"",,,,,,PU,-,R — Function reserved.
"",,,,,,,I/O,SSP0_SCK — Serial clock for SSP0.
"",,,,,,,O,SPIFI_SCK — Serial clock for SPIFI.
"",,,,,,,O,CGU_OUT1 — CGU spare clock output 1.
"",,,,,,,-,R — Function reserved.
"",,,,,,,O,I2S0_TX_MCLK — I2S transmit master clock.
"",,,,,,,I/O,I2S1_TX_SCK — Transmit Clock. It is driven by the master
"",,,,,,,,and received by the slave. Corresponds to the signal SCK in
"",,,,,,,,the I2S-bus specification.
P3_4,A15,B8,119,171,[2],N;,I/O,GPIO1[14] — General purpose digital input/output pin.
"",,,,,,PU,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
"",,,,,,,I/O,SPIFI_SIO3 — I/O lane 3 for SPIFI.
"",,,,,,,O,U1_TXD — Transmitter output for UART1.
"",,,,,,,I/O,I2S0_TX_WS — Transmit Word Select. It is driven by the
"",,,,,,,,master and received by the slave. Corresponds to the signal
"",,,,,,,,WS in the I2S-bus specification.
"",,,,,,,I/O,I2S1_RX_SDA — I2S1 Receive data. It is driven by the
"",,,,,,,,transmitter and read by the receiver. Corresponds to the signal
"",,,,,,,,SD in the I2S-bus specification.
"",,,,,,,O,LCD_VD13 — LCD data.
P3_5,C12,B7,121,173,[2],N;,I/O,GPIO1[15] — General purpose digital input/output pin.
"",,,,,,PU,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
"",,,,,,,I/O,SPIFI_SIO2 — I/O lane 2 for SPIFI.
"",,,,,,,I,U1_RXD — Receiver input for UART1.
"",,,,,,,I/O,I2S0_TX_SDA — I2S transmit data. It is driven by the
"",,,,,,,,transmitter and read by the receiver. Corresponds to the signal
"",,,,,,,,SD in the I2S-bus specification.
"",,,,,,,I/O,I2S1_RX_WS — Receive Word Select. It is driven by the
"",,,,,,,,master and received by the slave. Corresponds to the signal
"",,,,,,,,WS in the I2S-bus specification.
"",,,,,,,O,LCD_VD12 — LCD data.
P3_6,B13,C7,122,174,[2],N;,I/O,GPIO0[6] — General purpose digital input/output pin.
"",,,,,,PU,-,R — Function reserved.
"",,,,,,,I/O,SSP0_SSEL — Slave Select for SSP0.
"",,,,,,,I/O,SPIFI_MISO — Input 1 in SPIFI quad mode; SPIFI output IO1.
"",,,,,,,-,R — Function reserved.
"",,,,,,,I/O,SSP0_MISO — Master In Slave Out for SSP0.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
P3_7,C11,D7,123,176,[2],N;,-,R — Function reserved.
"",,,,,,PU,-,R — Function reserved.
"",,,,,,,I/O,SSP0_MISO — Master In Slave Out for SSP0.
"",,,,,,,I/O,SPIFI_MOSI — Input 0 in SPIFI quad mode; SPIFI output IO0.
"",,,,,,,I/O,GPIO5[10] — General purpose digital input/output pin.
"",,,,,,,I/O,SSP0_MOSI — Master Out Slave in for SSP0.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
P3_8,C10,E7,124,179,[2],N;,-,R — Function reserved.
"",,,,,,PU,-,R — Function reserved.
"",,,,,,,I/O,SSP0_MOSI — Master Out Slave in for SSP0.
"",,,,,,,I/O,SPIFI_CS — SPIFI serial flash chip select.
"",,,,,,,I/O,GPIO5[11] — General purpose digital input/output pin.
"",,,,,,,I/O,SSP0_SSEL — Slave Select for SSP0.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
P4_0,D5,-,1,1,[2],N;,I/O,GPIO2[0] — General purpose digital input/output pin.
"",,,,,,PU,O,"MCOA0 — Motor control PWM channel 0, output A."
"",,,,,,,I,NMI — External interrupt input to NMI.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
"",,,,,,,O,LCD_VD13 — LCD data.
"",,,,,,,I/O,U3_UCLK — Serial clock input/output for USART3 in
"",,,,,,,,synchronous mode.
"",,,,,,,-,R — Function reserved.
P4_1,A1,-,3,3,[5],N;,I/O,GPIO2[1] — General purpose digital input/output pin.
"",,,,,,PU,O,CTOUT_1 — SCT output 1. Match output 3 of timer 3.
"",,,,,,,O,LCD_VD0 — LCD data.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
"",,,,,,,O,LCD_VD19 — LCD data.
"",,,,,,,O,U3_TXD — Transmitter output for USART3.
"",,,,,,,I,ENET_COL — Ethernet Collision detect (MII interface).
"",,,,,,,AI,"ADC0_1 — ADC0 and ADC1, input channel 1. Configure the"
"",,,,,,,,pin as GPIO input and use the ADC function select register in
"",,,,,,,,the SCU to select the ADC.
P4_2,D3,-,8,12,[2],N;,I/O,GPIO2[2] — General purpose digital input/output pin.
"",,,,,,PU,O,CTOUT_0 — SCT output 0. Match output 0 of timer 0.
"",,,,,,,O,LCD_VD3 — LCD data.
"",,,,,,,-,R — Function reserved.
"",,,,,,,-,R — Function reserved.
"",,,,,,,O,LCD_VD12 — LCD data.
"",,,,,,,I,U3_RXD — Receiver input for USART3.
